slug,title,category,chars
alls-well-that-ends-well,All's Well That Ends Well,comedy,13859
as-you-like-it,As You Like It,comedy,14807
the-comedy-of-errors,The Comedy of Errors,comedy,13659
loves-labors-lost,Love's Labor's Lost,comedy,16683
measure-for-measure,Measure for Measure,comedy,16630
the-merchant-of-venice,The Merchant of Venice,comedy,16666
the-merry-wives-of-windsor,The Merry Wives of Windsor,comedy,16177
a-midsummer-nights-dream,A Midsummer Night's Dream,comedy,8463
much-ado-about-nothing,Much Ado About Nothing,comedy,15710
pericles,Pericles,comedy,16200
the-taming-of-the-shrew,The Taming of the Shrew,comedy,16271
the-tempest,The Tempest,comedy,14795
twelfth-night,Twelfth Night,comedy,15158
the-two-gentlemen-of-verona,The Two Gentlemen of Verona,comedy,13686
the-winters-tale,The Winter's Tale,comedy,6400
antony-and-cleopatra,Antony and Cleopatra,tragedy,15699
coriolanus,Coriolanus,tragedy,13892
cymbeline,Cymbeline,tragedy,14804
hamlet,Hamlet,tragedy,20053
julius-caesar,Julius Caesar,tragedy,16798
king-lear,King Lear,tragedy,16116
macbeth,Macbeth,tragedy,19274
othello,Othello,tragedy,16591
romeo-and-juliet,Romeo and Juliet,tragedy,20106
timon-of-athens,Timon of Athens,tragedy,15479
titus-andronicus,Titus Andronicus,tragedy,16063
henry-iv-part-1,Henry IV, Part 1,history,15143
henry-iv-part-2,Henry IV, Part 2,history,16540
henry-v,Henry V,history,15965
henry-vi-part-1,Henry VI, Part 1,history,15820
henry-vi-part-2,Henry VI, Part 2,history,15877
henry-vi-part-3,Henry VI, Part 3,history,16891
henry-viii,Henry VIII,history,15586
king-john,King John,history,15134
richard-ii,Richard II,history,16235
richard-iii,Richard III,history,15881
shakespeares-sonnets,Shakespeare's Sonnets,poetry,18151
venus-and-adonis,Venus and Adonis,poetry,13591
lucrece,Lucrece,poetry,12156
the-phoenix-and-turtle,The Phoenix and Turtle,poetry,11663
a-lovers-complaint,A Lover's Complaint,poetry,132
